domain_id,user_id,item_id,label,text
book,book_u20,book_i57,0,
movie,movie_u22,movie_i33,1,
book,book_u5,book_i29,0,
movie,movie_u9,movie_i27,0,
book,book_u1,book_i59,0,
book,book_u13,book_i49,0,
movie,movie_u10,movie_i89,1,
book,book_u0,book_i16,1,
movie,movie_u6,movie_i64,1,
book,book_u24,book_i89,0,
book,book_u24,book_i53,0,
movie,movie_u13,movie_i1,1,
movie,movie_u0,movie_i18,1,
movie,movie_u3,movie_i19,0,
book,book_u21,book_i89,0,
movie,movie_u23,movie_i76,1,
movie,movie_u27,movie_i51,1,
book,book_u25,book_i69,0,
movie,movie_u2,movie_i85,0,
book,book_u20,book_i49,0,
movie,movie_u10,movie_i54,1,
book,book_u14,book_i70,0,
book,book_u0,book_i10,1,
movie,movie_u16,movie_i53,0,
movie,movie_u15,movie_i89,1,
book,book_u23,book_i77,0,
book,book_u20,book_i2,1,
movie,movie_u14,movie_i9,1,
book,book_u1,book_i20,0,
movie,movie_u10,movie_i29,0,
book,book_u16,book_i7,0,
movie,movie_u12,movie_i36,0,
movie,movie_u0,movie_i69,1,
movie,movie_u2,movie_i75,1,
movie,movie_u3,movie_i2,0,
book,book_u4,book_i60,0,
movie,movie_u0,movie_i26,0,
book,book_u8,book_i54,1,
movie,movie_u1,movie_i35,0,
movie,movie_u7,movie_i7,0,
movie,movie_u9,movie_i63,1,
book,book_u16,book_i24,1,
book,book_u18,book_i78,1,
book,book_u10,book_i73,1,
book,book_u25,book_i68,0,
movie,movie_u21,movie_i20,0,
movie,movie_u19,movie_i46,0,
movie,movie_u25,movie_i87,1,
book,book_u5,book_i28,0,
movie,movie_u20,movie_i64,1,
movie,movie_u12,movie_i20,0,
movie,movie_u3,movie_i32,1,
movie,movie_u27,movie_i74,1,
book,book_u26,book_i66,0,
movie,movie_u0,movie_i13,0,
book,book_u21,book_i39,1,
movie,movie_u17,movie_i13,0,
book,book_u26,book_i13,0,
book,book_u12,book_i3,0,
book,book_u17,book_i41,1,
book,book_u23,book_i45,1,
book,book_u7,book_i16,1,
book,book_u6,book_i55,0,
movie,movie_u1,movie_i15,1,
book,book_u28,book_i47,0,
book,book_u29,book_i13,1,
book,book_u6,book_i88,1,
book,book_u16,book_i64,1,
movie,movie_u26,movie_i27,0,
book,book_u8,book_i56,1,
book,book_u2,book_i18,1,
book,book_u28,book_i15,1,
movie,movie_u7,movie_i86,1,
book,book_u7,book_i82,1,
book,book_u12,book_i4,0,
movie,movie_u19,movie_i25,0,
book,book_u23,book_i1,1,
movie,movie_u7,movie_i64,1,
book,book_u14,book_i10,0,
book,book_u4,book_i55,0,
book,book_u17,book_i2,1,
book,book_u25,book_i72,1,
movie,movie_u5,movie_i50,0,
book,book_u12,book_i52,1,
movie,movie_u22,movie_i73,1,
book,book_u12,book_i86,0,
book,book_u4,book_i0,1,
book,book_u18,book_i7,1,
book,book_u12,book_i68,1,
book,book_u4,book_i3,1,
movie,movie_u7,movie_i33,1,
movie,movie_u17,movie_i15,1,
book,book_u11,book_i80,0,
book,book_u29,book_i76,0,
movie,movie_u7,movie_i40,1,
movie,movie_u0,movie_i51,0,
movie,movie_u1,movie_i46,1,
